"CHR_OBJECT"	"OBJ_CLASS"	"OBJ_STATUS"	"OBJ_USER_STATUS"	"CHR_CHAR"	"CHR_VALUE"
"400057733"	"ZMOG_EQUI_AILU"	"INST"	""	"ENCK"	"IP67"
"400057738"	"ZMOG_EQUI_AXEP"	"INST"	""	"ORDN"	"40605501"
"400057742"	"ZMOG_EQUI_ACIP"	"INST"	""	"INSI"	"4-20 MA"
"400057750"	"ZMOG_EQUI_AJB"	"INST"	""	"CABG"	"MAX 18 X M20"
"400057773"	"ZMOG_EQUI_AEJB"	"INST"	""	"CERT"	"KEMA 99 ATEX 3172X"
"400057748"	"ZMOG_EQUI_AEL"	"INST"	""	"BODM"	"ST 316"
"400057785"	"ZMOG_EQUI_APIN"	"INST"	""	"DIAL"	"39 MM/WHITE W. BLACK & RED NO"
"400057799"	"ZMOG_EQUI_AZSE"	"INST"	""	"ENCPK"	"IP 68"
"400057790"	"ZMOG_EQUI_AEJB"	"INST"	""	"DIM"	"140 X 95 X 120"
"400057790"	"ZMOG_EQUI_AEJB"	"INST"	""	"EXCA"	"EEXDE IIC T6"
"400057825"	"ZMOG_EQUI_APIN"	"INST"	""	"DIAL"	"63,100,160 MM/BLACK ON WHITE/-"
"400057832"	"ZMOG_EQUI_AZTX"	"INST"	""	"BABM"	"BRASS, MS58"
"400057832"	"ZMOG_EQUI_AZTX"	"INST"	""	"ELET"	"POTENTIOMETER"
"400057829"	"ZMOG_EQUI_AJB"	"INST"	""	"EXCA"	"EEX ""E"" II T 6"
"400057829"	"ZMOG_EQUI_AJB"	"INST"	""	"WEI"	"7 KG"
"400057829"	"ZMOG_EQUI_AJB"	"INST"	""	"DIM"	"306 X 306 X 150"
"400057820"	"ZMOG_EQUI_ALOU"	"INST"	""	"CERT"	"NEMKO NO. OIATEX 235"
"400057800"	"ZMOG_EQUI_ASDT"	"INST"	""	"SIOU"	"100 MICRO TO 100MA"
"400057800"	"ZMOG_EQUI_ASDT"	"INST"	""	"DIM"	"112 X 136MM"
"400057800"	"ZMOG_EQUI_ASDT"	"INST"	""	"BODM"	"PLASTIC"
"400057826"	"ZMOG_EQUI_AEXP"	"INST"	""	"TEPR"	"27 BAR"
"400057826"	"ZMOG_EQUI_AEXP"	"INST"	""	"WEI"	"16,00 KG"
"400057842"	"ZMOG_EQUI_ADHD"	"INST"	""	"AUCE"	"BASNO.EX94C2443 NEMKO ES96D322"
"400057854"	"ZMOG_EQUI_AEL3"	"INST"	""	"CERT"	"PTB NO. EX-87B. 1038/1036U"
"400057887"	"ZMOG_EQUI_APB"	"INST"	""	"DIM"	"85X/85X77.5"
"400057887"	"ZMOG_EQUI_APB"	"INST"	""	"SUPP"	"MAX: 690 V / 16A"
"400057887"	"ZMOG_EQUI_APB"	"INST"	""	"TERS"	"2X4 MM2"
"400057887"	"ZMOG_EQUI_APB"	"INST"	""	"TECE"	"EX. 87.B.1009 PTB"
"400057856"	"ZMOG_EQUI_ASOV"	"INST"	""	"DES"	"100-600 BAR / -20 TO +70 	C"
"400057884"	"ZMOG_EQUI_APC"	"INST"	""	"DRIV"	"EL-MOTOR"
"400057859"	"ZMOG_EQUI_AGDE"	"INST"	""	"EEXCE"	"BVS NO. 91.C.2011"
"400057859"	"ZMOG_EQUI_AGDE"	"INST"	""	"EXCA"	"EEX IA T4/EEX IA IIC T6"
"400057864"	"ZMOG_EQUI_APB"	"INST"	""	"EXCA"	"EEXDE IIC T6"
"400057883"	"ZMOG_EQUI_ATTR"	"INST"	""	"ENCPK"	"IP55"
"400057883"	"ZMOG_EQUI_ATTR"	"INST"	""	"DES"	"-  /-200...+850"
