"C_TYPE"	"C_OBJECT"	"C_DESCRIPTION"	"P_TYPE"	"P_OBJECT"	"P_DESCRIPTION"
"FLOC"	"DA-EX-36"	"DRY POWDER USED FOR PLATFORM A"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-F-201"	"FILTER WITH INDICATOR"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-F-201"	"FILTER WITH INDICATOR"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-F-202"	"FILTER WITH INDICATOR"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-F-202"	"FILTER WITH INDICATOR"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-F-203"	"FILTER WITH INDICATOR/AIR FILTER"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-F-203"	"FILTER WITH INDICATOR/AIR FILTER"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-F-204"	"AIR FILTER"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-F-204"	"AIR FILTER"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-F-3135"	"FILTER"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-F-3135"	"FILTER"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-F-54212"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-F-54212"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-F-54222"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-F-54222"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-FBG-1"	"FIXED SPRAY SYSTEM"	"SYST"	"DK.DA.A.003"	"FIRE WATER"
"FLOC"	"DA-FBG-1"	"FIXED SPRAY SYSTEM"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FBG-2"	"FIXED SPRAY SYSTEM"	"SYST"	"DK.DA.A.003"	"FIRE WATER"
"FLOC"	"DA-FBG-2"	"FIXED SPRAY SYSTEM"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FCV-29009"	"FLOW CONTROL VALVE"	"SYST"	"DK.DA.A.033"	"MANIFOLDS AND FLOWLINES"
"FLOC"	"DA-FCV-29009"	"FLOW CONTROL VALVE"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FE-29008"	"ORIFICE PLATE (METERING)"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FE-29008"	"ORIFICE PLATE (METERING)"	"SYST"	"DK.DA.A.029"	"GAS LIFT"
"FLOC"	"DA-FE-35001"	"ORIFICE PLATE (METERING)"	"SYST"	"DK.DA.A.035"	"WATER INJECTION"
"FLOC"	"DA-FE-35001"	"ORIFICE PLATE (METERING)"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FE-35004"	"FLOW ELEMENT (METERING)"	"SYST"	"DK.DA.A.035"	"WATER INJECTION"
"FLOC"	"DA-FE-35004"	"FLOW ELEMENT (METERING)"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FE-35005"	"FLOW ORIFICE PLATE (METERING)"	"SYST"	"DK.DA.A.035"	"WATER INJECTION"
