"source standard code","source standard description","source standard still to be completed indicator","CFIHOS unique id","change request number","status","created date","modified date","terminated date"
"PED 97/23/EC",,"yes","CFIHOS-90000107","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 674:2016","Positive Displacement Pumps—Reciprocating","yes","CFIHOS-90000108","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-701:2020","AC Uninterruptible Power Systems (UPS)","yes","CFIHOS-90000109","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-702:2020","DC Uninterruptible Power Systems (UPS)","yes","CFIHOS-90000110","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-704:2021","High Voltage Three-phase Cage Induction Motors","yes","CFIHOS-90000111","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-707:2020","Actuators for On-off Valves","yes","CFIHOS-90000112","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-716:2021","Small Bore Tubing and Fittings","yes","CFIHOS-90000113","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-720:2020","Transformers","yes","CFIHOS-90000114","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-722:2020","Flare Package","yes","CFIHOS-90000115","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-723:2020","Electric Process Heaters","yes","CFIHOS-90000116","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-724:2021","Subsea Fasteners (Alloy and Carbon Steel Bolting)","yes","CFIHOS-90000117","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-725:2021","Subsea Fasteners (Corrosion-resistant Bolting)","yes","CFIHOS-90000118","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-726:2021","Recommended Practice for Application of Subsea Fasteners","yes","CFIHOS-90000119","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-728:2021","Reciprocating Positive Displacement Pumps","yes","CFIHOS-90000120","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-730:2021","Flanged Steel Pressure-relief Valves","yes","CFIHOS-90000121","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-732:2020","Low Voltage Motor Control Centers","yes","CFIHOS-90000122","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
