"coding source code","CFIHOS unique id","CFIHOS code equivalent value","created date","modified date","terminated date","status","change request number"
"STEPLIB","CFIHOS-30000016","10421","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000019","70044","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000021","RDS1455523211","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000022","RDS5773641","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000023","RDS613394","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000026","RDS297764","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000030","RDS298079","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000030","70095","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000034","71280","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000035","71227","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000037","RDS7038826","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000038","RDS299519","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000039","RDS5036404627","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000039","250150","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000042","RDS403501741","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000042","130111","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000043","RDS300374","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000043","10264","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000044","RDS300509","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000044","400071","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000046","71329","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000047","40059","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000048","RDS1298392011","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000049","RDS414314","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000050","RDS1066619141","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000052","RDS301094","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000053","RDS14069845","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000053","100052","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000054","RDS485549","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000055","RDS648539","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000056","RDS1325028651","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000056","10174","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000058","RDS1330277141","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000058","100426","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000059","RDS5785782","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000059","520376","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000063","RDS7208926","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000067","RDS487624691","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000067","40079","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000068","71212","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000070","RDS6689917","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000070","10025","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000071","40081","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000072","RDS5855546","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000073","70728","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000074","RDS850679","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000078","RDS477314","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000078","10281","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000079","RDS7038956","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000080","RDS12195576","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000081","490307","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000085","RDS302174","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000085","10177","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000086","RDS304514","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000086","10381","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000087","RDS477404","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000088","RDS880469","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000088","70176","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000089","RDS16760820","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000090","RDS5800917","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000094","RDS672897771","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000094","100225","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000098","70202","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000099","RDS290249","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000099","70239","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000100","70562","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000102","RDS16045622","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000102","130959","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000104","RDS414134","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000105","70368","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"ISO 15926 part4","CFIHOS-30000106","4238","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000106","RDS624014","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000106","70018","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000110","RDS414584","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000110","131812","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000111","40095","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000112","RDS1299805331","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000114","RDS648359","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000115","RDS7065039","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000116","RDS13601560","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000117","RDS5778110","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000119","RDS280034","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000119","10162","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000123","RDS5770253","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000123","71009","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000125","RDS477359","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000125","100311","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000127","RDS7057701","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"ISO 15926 part4","CFIHOS-30000128","3057","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000128","RDS418499","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000128","70247","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000129","790449","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000130","40735","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000131","RDS11159754","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000131","340052","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000132","70594","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000135","70599","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000136","10563","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000138","RDS6703279","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000138","70602","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000163","40122","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000168","RDS1300808591","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000168","160089","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000169","RDS286154","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000171","70616","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000172","RDS13600580","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000175","RDS414899","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000175","10439","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000176","RDS16556388","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000177","RDS414854","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000177","10359","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000179","RDS13027840","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000180","RDS499454","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000180","10522","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000182","10096","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
