"parent equipment class name","equipment class name","equipment class definition","abstract class flag","CFIHOS unique id","spare part info required","reason for having class","synonym","created date","modified date","terminated date","change request number","status"
"infrastructure","window","A device which is an opening especially in the wall of a building for admission of light and air that is usually closed by casements or sashes containing transparent material (as glass)","no","CFIHOS-30000935","no","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"infrastructure","bridge bearing","A device to permit relative movement between a bridge and its support generally requiring periodic inspection and maintenance","no","CFIHOS-30000936","yes","Requested by bp as part of owner operators alignment",,"2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
"electrical equipment class","cable tray","A unit or assembly of units or sections and associated fittings forming a rigid structural system used to securely fasten or support cables and raceways.","no","CFIHOS-30000937","yes","Requested by bp as part of owner operators alignment",,"2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
"piping and pipeline equipment","casing","An enclosure that can maintain a pressure difference.","no","CFIHOS-30000938","yes","Requested by ExxonMobil as part of owner operators alignment",,"2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
"lifting device","container","A physical object intended to contain something.","no","CFIHOS-30000939","yes","Requested by bp as part of owner operators alignment",,"2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
"other mechanical equipment","crusher","A mill that uses pressure or impact to reduce the particle size of solid materials.","no","CFIHOS-30000940","yes","Requested by bp as part of owner operators alignment",,"2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
"other mechanical equipment","hydraulic power unit","A unit minimum consisting of a engine driven hydraulic pump and a reservoir which is delivering hydraulic energy to one or more consumers","no","CFIHOS-30000942","yes","Requested by ExxonMobil as part of owner operators alignment",,"2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
"general instrument","interface card","A distribution board (network card) that is intended for communication between systems, to part of a system or to a computer network.","no","CFIHOS-30000943","yes","Requested by bp as part of owner operators alignment","input-output circuit board; network card","2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
"piping and pipeline equipment","lightning arrestor","A lightning arrestor is a device used on electric power systems and telecommunication systems to protect the insulation and conductors of the system from the damaging effects of lightning.","no","CFIHOS-30000944","yes","Requested by ExxonMobil as part of owner operators alignment",,"2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
"detecting element","meteorological sensor","An 'equipment class' that is a class of devices engaged in meteorological observations","no","CFIHOS-30000945","yes","Requested by bp as part of owner operators alignment",,"2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
"piping and pipeline equipment","pipe reducer","An 'artefact' that has different nominal pipe size at the two ends, intended to connect pipes or piping components.","no","CFIHOS-30000946","yes","Requested by ExxonMobil as part of owner operators alignment",,"2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
"piping and pipeline equipment","sample bomb","A cylinder that is specially designed to collect and store high pressure gas samples from the field & transport the same to laboratories","no","CFIHOS-30000948","yes","Requested by ExxonMobil as part of owner operators alignment",,"2021-10-07T16:19:11.613Z","2021-10-12T14:57:36.093Z",,"FR52","STANDARD"
