"parent equipment class name","equipment class name","equipment class definition","abstract class flag","CFIHOS unique id","spare part info required","reason for having class","synonym","created date","modified date","terminated date","change request number","status"
"IT and telecom equipment","satellite communications terminal","A system that provides voice and telefax communication via satellites.","no","CFIHOS-30000225","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60;FR74","STANDARD"
"conveyor","screw conveyor","Is a conveyer intended to move dry, solid material from one location to another by means of a helix or screw rotating in a cylindrical conduit.","no","CFIHOS-30000226","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60;FR74","STANDARD"
"control switch","selector switch","A manual control switch which has more then two possible positioning states.","no","CFIHOS-30000227","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0029;CR0030;FR60","STANDARD"
"other mechanical equipment","shale shaker","A vibrating screen for sifting out rock cuttings from drilling mud.","no","CFIHOS-30000228","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"mechanical equipment class","other mechanical equipment","N equipment class that contains classes that normally are the responsibility of a department for mechanical engineering that are not covered by the mechanical equipment class.","yes","CFIHOS-30000230","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60;FR74","STANDARD"
"other mechanical equipment","sheave","A wheel which is grooved for use with vee-belts, ropes, round belts, wire or pipe.","no","CFIHOS-30000231","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"damper","shut off damper","A damper intended for closing off parts of a ventilation system.","no","CFIHOS-30000232","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"miscellaneous equipment","side pocket mandrel","A completion component that is used to house gas-lift valves and similar devices that require communication with the annulus.","no","CFIHOS-30000233","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"IT and telecom equipment","signal splitter","A device with one input and at least two outputs used for dividing a detectable transmitted energy (as a voltage, current, or  magnetic field strength) by which information can be transmitted.","no","CFIHOS-30000235","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0030;CR0029;FR60;FR74","STANDARD"
"marine","single buoy mooring","A Single buoy mooring (SBM) or Single point mooring (SPM) is a loading buoy anchored offshore that serves as a mooring point and interconnect for tankers loading or offloading gas or fluid products. SBMs are the link between the geostatic subsea manifold connections and the weathervaning tanker. They are capable of handling any size ship, even very large crude carriers (VLCC) where no alternative facility is available.","no","CFIHOS-30000236","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","sink","A large basin with taps that supplies water.","no","CFIHOS-30000237","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","skimmer","Device which separates oil from water by mechanically wipe the oil of the water surface.","no","CFIHOS-30000239","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"lifting device","snatch block","A block through which a rope can be reeved without access to an end.","no","CFIHOS-30000240","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"analysing instrument","solid composition analyser","An analyser intended to determine a mixture of solid particles in liquids or solid or liquid droplets in air.","no","CFIHOS-30000242","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0029;CR0030;FR60","STANDARD"
"detector","sand detector","A detector intended to detect sand in a fluid.","no","CFIHOS-30000243","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0028;CR0030;CR0029;FR60","STANDARD"
"damper","sound attenuator","A device decreasing noise in a HVAC system.","no","CFIHOS-30000244","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"analysing instrument","sound pressure level analyser","A meter intended to measure a sound pressure level.","no","CFIHOS-30000245","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0029;CR0030;FR60","STANDARD"
"piping and pipeline equipment","spark arrestor","A device which removes incandescent particles from a gas stream. Spark arrestors are fitted to vehicles and stationary engines which are operated in potentially flammable atmospheres.","no","CFIHOS-30000246","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"tool","special tool","A device that is made as a tool to be used for a special purpose.","no","CFIHOS-30000247","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"analysing instrument","specific gravity analyser","An analyser intended to determine specific gravity's of materials. Typically of liquids.","no","CFIHOS-30000248","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0029;CR0030;FR60","STANDARD"
"other mechanical equipment","spreader bar","A beam that is used to spread ropes or slings when lifting.","no","CFIHOS-30000249","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60;FR74","STANDARD"
"piping and pipeline equipment","spring support","Is a support (item) intended to carry the load of piping components.","no","CFIHOS-30000250","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60;FR74","STANDARD"
"other mechanical equipment","stack","Is a support structure intended to support a flare or vent pipe.","no","CFIHOS-30000251","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"general instrument","strain gauge","Is a device used to measure deformation (strain) of an object. The most common type of strain gauge consists of a flexible backing which supports a metallic foil pattern etched onto the backing. As the object is deformed, the foil pattern is deformed, cau","no","CFIHOS-30000252","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0012;CR0014;CR0029;FR60;FR74","TERMINATED"
"other mechanical equipment","stroke length adjuster","A mechanical device capable of reducing the stroke length of a pump.","no","CFIHOS-30000253","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"mechanical equipment class","sump","Is an artefact intended to collect a heavy phase by making use of gravity.","no","CFIHOS-30000254","yes",,"pit","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0013;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","swivel joint","An artefact joining two parts so that one or both can pivot freely (as on a bolt or pin).","no","CFIHOS-30000255","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"mechanical equipment class","tank and vessel",,"yes","CFIHOS-30000256","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0013;CR0029;FR60","TERMINATED"
"IT and telecom equipment","tape drive","A device that transfer data between a computer and a magnetic tape.","no","CFIHOS-30000257","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"instrument equipment","temperature instrument","A physical object that detects temperatures; records, modifies and/or displays or performs a combination of these activities.","no","CFIHOS-30000258","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0014;CR0029;CR0030;CR0032;FR60","STANDARD"
"flow element","thermal flow element","An element which uses the principle of thermal conductivity to measure volume flow rate.","no","CFIHOS-30000259","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0028;CR0029;CR0030;FR60","STANDARD"
"flow transmitter","thermal flow transmitter","A velocity flow meter which uses the principle of thermal conductivity to measure volume flow rate.","no","CFIHOS-30000260","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0029;CR0030;FR60","STANDARD"
"equipment class","tool","A device that is a mechanical implement for working upon something, as by cutting, striking, rubbing or other processes, in any manual art or industry; usually, one held in and operated by the hand (or fixed in position, as in a lath), but also including certain simple machines, as the lathe; sometimes extended to simple instruments of other kinds.","yes","CFIHOS-30000261","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"flow instrument","totalizer","A Control Function which has the capability to totalize","no","CFIHOS-30000262","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0005;CR0014;CR0029;FR60","TERMINATED"
"vehicle","trailer","Is a vehicle which is nonautomotive and is designed to be hauled by road.","no","CFIHOS-30000263","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"flow transmitter","turbine flow transmitter","A transmitter specially designed to convert the signal in a turbine meter into a standardized output signal.","no","CFIHOS-30000264","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0029;CR0030;FR60","STANDARD"
"flow transmitter","ultrasonic flow transmitter","A flow transmitter providing electrical outputs that are proportional to the flow inputs from an ultrasonic flow meter.","no","CFIHOS-30000265","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0029;CR0030;FR60","STANDARD"
"level element","ultrasonic level element","An element intended to determine a level based on  ultrasonic sound waves.","no","CFIHOS-30000266","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0028;CR0029;CR0030;FR60","STANDARD"
"miscellaneous equipment","umbilical","An assembly of hydraulic hoses which can also include electrical cables or optic fibres, used to control a sub sea structure or remote operated vehicle from a platform or a vessel.","no","CFIHOS-30000267","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","UV sterilizer","Is a sterilizer intended to make use of ultraviolet light.","no","CFIHOS-30000268","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"instrument equipment","valve (non DCS connected)",,"yes","CFIHOS-30000269","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0005;CR0011;CR0029;FR60","TERMINATED"
"instrument equipment","valve instrument",,"yes","CFIHOS-30000270","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0005;CR0011;CR0029;FR60","TERMINATED"
"analysing instrument","vapour pressure analyser","An analyser intended to determine a vapor pressure.","no","CFIHOS-30000271","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0029;CR0030;FR60;FR74","STANDARD"
"level instrument","vibrating level switch","Which contains a sensor which vibration is dampened when in contact with a material, where the dampening causes it to switch or to transmit a switch signal.","no","CFIHOS-30000272","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0005;CR0014;CR0029;FR60;FR74","TERMINATED"
"control switch","vibration switch","A switch intended to give a on/off signal when vibration level have reached a pre-set value.","no","CFIHOS-30000273","yes",,"vibrating fork level switch","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"IT and telecom equipment","video converter","A signal converter intended to convert one video signal type to another video signal type.","no","CFIHOS-30000274","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"IT and telecom equipment","video monitor","A facility with the capability of receiving  video signals and displaying pictures.","no","CFIHOS-30000275","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0014;CR0028;CR0030;CR0029;FR60","STANDARD"
"transmitter","voltage transmitter","A transmitter which output is relative to a measured voltage.","no","CFIHOS-30000276","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"flow transmitter","vortex flow transmitter","A transmitter specially designed to convert the signal in a vortex flow meter into a standardized output signal.","no","CFIHOS-30000277","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0029;CR0030;FR60","STANDARD"
"other mechanical equipment","waste compactor","A compactor is a machine or mechanism used to reduce the size of waste material.","no","CFIHOS-30000278","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"heat exchanger","water cooler","A water cooler is a device that cools and dispenses water.","no","CFIHOS-30000279","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","water desalination system","Is a fresh water system.","no","CFIHOS-30000280","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","water maker","A device for producing drinking water, but not necessarily by reverse osmosis.","no","CFIHOS-30000281","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"instrument equipment","weight instrument",,"yes","CFIHOS-30000282","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0014;CR0028;CR0029;FR60","TERMINATED"
"miscellaneous equipment","well","A well is a collection of (zero or more) holes drilled into the Earth for the purpose of either (1) finding or producing underground resources; or (2) providing services related to the production of underground resources.","no","CFIHOS-30000283","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"miscellaneous equipment","wellhead","The wellhead is assembled from, or incorporates facilities for, the upper casing and tubing hangers. This effectively provides the upper termination of the wellbore and provides a mounting position for the surface flow-control equipment or Christmas tree.","no","CFIHOS-30000284","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"lifting device","winch","A powerful machine with one or more drums on which to coil a rope, cable, or chain for hauling or hoisting.","no","CFIHOS-30000285","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60;FR74","STANDARD"
"detector","anemometer","A detecting instrument for recording wind speed, and possibly wind direction.","no","CFIHOS-30000286","yes",,"wind meter","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"lifting device","wire hoist","A hoist utilizing a wire-rope for suspending load. Wire hoists are normally electrically powered, but also (hand) lever types exists.","no","CFIHOS-30000287","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","wire line unit","Is a well services facility intended to handle wire lines.","no","CFIHOS-30000288","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60;FR74","STANDARD"
"lifting device","wire sling","A sling for enclosing material to be hoisted by a tackle or crane made by wire.","no","CFIHOS-30000289","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"IT and telecom equipment","wireless access point","A wireless access point (WAP) is a device that allows wired communication devices to connect to a wireless network using Wi-Fi, Bluetooth or related standards. The WAP usually connects to a router, and can relay data between the wireless devices (such as computers or printers) and wired devices on the network.","no","CFIHOS-30000290","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"mechanical equipment class","damper","A device that damps, typically a valve or plate (as in the flue of a furnace) for regulating the draft, or a device to stop vibration, typically a shock absorber or snubber.","yes","CFIHOS-30000291","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"instrument equipment","indicating instrument","A device which gives a visual indication of a measured value.","no","CFIHOS-30000292","yes",,"indicator","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0028;CR0030;CR0029;FR60","STANDARD"
"valve instrument","directional solenoid valve","A solenoid valve that operates in only one direction.","no","CFIHOS-30000293","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0005;CR0011;CR0029;FR60","TERMINATED"
"control valve","down hole safety valve","A valve that is intended for subsurface control/check operation.","no","CFIHOS-30000294","no","BP, Chevron & Shell Tagging Specification","subsurface safety valve","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0011;CR0029;CR0030;FR60","STANDARD"
"pressure relief device","relief valve","A self operating valve that is set to open at a certain pressure level to prevent the pressure in a container or system from reaching unsafe levels.","no","CFIHOS-30000295","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0011;CR0028;CR0029;CR0030;FR60","STANDARD"
"valve instrument","valve extension stem","A valve stem that is an extension rod to be hooked on top of another valve stem.","no","CFIHOS-30000296","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0029;FR60","TERMINATED"
"infrastructure","basin","A container intended to store liquid or solid material partly or totally below grade and that is typically open.","no","CFIHOS-30000297","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"lifting device","basket","A container that has a characteristic shape and that is made of material with an open structure.","no","CFIHOS-30000298","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","cap","A physical object that is a hood or covering for the top or end of something.","no","CFIHOS-30000299","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"enclosure","chamber","A physical object that is an enclosed space.","no","CFIHOS-30000300","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","door","A physical object that is an opening in a barrier and a removable physical object that can block the opening.","no","CFIHOS-30000301","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0028;CR0030;CR0029;FR60","STANDARD"
"tank and vessel","drain","A physical object that allows liquid to leave a container under gravity","no","CFIHOS-30000302","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0013;CR0029;FR60","TERMINATED"
"equipment class","enclosure","A physical object that separates enclosed physical objects from those outside.","yes","CFIHOS-30000303","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"piping and pipeline equipment","flange","A physical object that is a projecting flat rim, plate, collar or rib.","no","CFIHOS-30000304","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","frame","A physical object that is an open structure of beams or bars.","no","CFIHOS-30000305","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","gasket","A seal that is one or more closed loops of deformable material used between mating surfaces which have only very limited movement relative to each other.","no","CFIHOS-30000306","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","housing","An enclosure that also provides support.","no","CFIHOS-30000307","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"piping and pipeline equipment","manifold","A physical object that contains a chamber with several openings.","no","CFIHOS-30000308","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"piping and pipeline equipment","seal","A physical object intended to reduce or prevent the passage of fluid through an opening.","no","CFIHOS-30000309","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"equipment class","electrical equipment class","An equipment class that contains classes of artefacts which is electrical equipment.","yes","CFIHOS-30000310","no",,"electrical equipment","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0030;CR0029;FR60","STANDARD"
,"equipment class","An artefact class that contains classes of artefacts or physical resources required for a purpose.","yes","CFIHOS-30000311","no","Top node in class hierarchy",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"mechanical equipment class","fired heat transfer equipment class","An equipment class that contains heat transfer equipment items with a purpose related to combustion.","yes","CFIHOS-30000312","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"equipment class","health, safety and environment equipment class","An equipment class that contains classes of artefacts intended to be used to provide health and safety and to prevent environmental hazards.","yes","CFIHOS-30000313","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"equipment class","mechanical equipment class","An equipment class that contains classes that normally are the responsibility of a department for mechanical engineering.","yes","CFIHOS-30000314","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"vessel","accumulator","A physical object for storing energy, and which after discharge may be recharged.","no","CFIHOS-30000315","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0013;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","amplifier","A physical object for increasing the power of a signal.","no","CFIHOS-30000316","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","anode","A physical object that is capable of emitting positive charge carriers to and/or receiving negative charge carriers from the medium of lower conductivity.","no","CFIHOS-30000317","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","battery back-up power supply unit","A direct current power supply unit intended to supply stabilised DC electric power according to specified levels and tolerances.","no","CFIHOS-30000318","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","battery charger","A direct current power supply unit for charging batteries.","no","CFIHOS-30000319","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","busbar","An electrical conductor that is of low-impedance, to which several electric circuits can be connected at separate points.","no","CFIHOS-30000320","yes",,"bus bar","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0030;CR0029;FR60;FR74","STANDARD"
"other mechanical equipment","cable reel","A physical object that is a reel on to which cable is wound during manufacture, for storage, transportation and installation.","no","CFIHOS-30000321","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","capacitor bank","A physical object that is a number of capacitor units connected so as to act together.","no","CFIHOS-30000322","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0029;CR0030;FR60","STANDARD"
"electrical equipment class","circuit-breaker","A mechanical switching device that at regular intervals interrupts an electric current.","no","CFIHOS-30000323","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0029;CR0030;FR60","STANDARD"
"IT and telecom equipment","clock","A timepiece for the measurement of time.","no","CFIHOS-30000324","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0014;CR0028;CR0030;CR0029;FR60","STANDARD"
"transmitter","conductivity transmitter","A transmitter that is intended to measure and transmit conductivity.","no","CFIHOS-30000325","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","contactor","A mechanical switching device having only one position of rest, operated otherwise than by hand, capable of making, carrying and breaking currents under normal circuit conditions including operating overload conditions.","no","CFIHOS-30000326","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","control panel","An instrument panel containing a set of indicating devices and control units required for operation of a system or part of it.","no","CFIHOS-30000327","yes",,"electrical panel","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0030;CR0029;FR60","STANDARD"
"transmitter","current transmitter","A transmitter that transmits an analogue electrical current.","no","CFIHOS-30000329","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"switchgear and controlgear","distribution board","A switchgear and controlgear that is an insulated  panel carrying terminals, fuses, etc, for controlling a number of subsidiary electrical circuits.","no","CFIHOS-30000330","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","earth busbar","An electrical conductor that is a busbar used for earthing.","no","CFIHOS-30000331","no",,"grounding busbar; earthing bar","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","earth electrode","An electrode, which is the conductive part, that can be embedded in a specific conductive medium, e.g. concrete or coke, in electric contact with the Earth.","no","CFIHOS-30000332","yes",,"grounding electrode","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0030;CR0029;FR60","STANDARD"
"detector","earth leakage detector","A detector intended to detect a leakage current to earth.","no","CFIHOS-30000333","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","earth plate","An electrode that is an earth electrode consisting of a metal plate buried in the ground.","no","CFIHOS-30000334","no",,"grounding plate","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0030;CR0029;FR60","STANDARD"
