"tag class name","tag class CFIHOS unique ID","equipment class name","equipment class CFIHOS unique ID","reason for mapping","created date","modified date","terminated date","change request number","status"
"ultrasonic level transmitter","CFIHOS-30000484","ultrasonic level transmitter","CFIHOS-30000484",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"umbilical","CFIHOS-30000267","umbilical","CFIHOS-30000267",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"umbilical termination assembly","CFIHOS-30000726","umbilical termination assembly","CFIHOS-30000726",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0015","STANDARD"
"ups unit","CFIHOS-30000376","ups unit","CFIHOS-30000376",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"v-cone flow meter","CFIHOS-30000485","v-cone flow meter","CFIHOS-30000485",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"vacuum circuit-breaker","CFIHOS-30000874","vacuum circuit-breaker","CFIHOS-30000874",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"vacuum column","CFIHOS-30000875","vacuum column","CFIHOS-30000875",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"vacuum relief valve","CFIHOS-30000634","vacuum relief valve","CFIHOS-30000634",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"vapour pressure analyser","CFIHOS-30000271","vapour pressure analyser","CFIHOS-30000271",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"variable speed drive unit","CFIHOS-30000377","variable speed drive unit","CFIHOS-30000377",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"vehicle","CFIHOS-30000606","road compactor","CFIHOS-30000913",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"vehicle","CFIHOS-30000606","road sweeper","CFIHOS-30000914",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
