EquipmentUnit	Bundary	Component	ComponentId
Risers	Accessories	Bend restrictor	Bend restrictor
Risers	Accessories	Buoyancy device	Buoyancy device
Risers	Accessories	J/I-tube seal	J/I-tube seal
Risers	Accessories	Stabilizing and guiding equipment	Stabilizing and guiding equipment
Risers	Accessories	Tension- and motion-compensation equipment	Tension- and motion-compensation equipment
Gas turbines	Accessory drive	Bearing	Bearing
Gas turbines	Accessory drive	Casing	Casing
Gas turbines	Accessory drive	Gearbox	Gearbox
Gas turbines	Accessory drive	Seals	Seal
Gas turbines	Air intake	Air cooling	Air cooling
Gas turbines	Air intake	Anti-icing	Anti-icing
Gas turbines	Air intake	Filters	Filter
Gas turbines	Air intake	Inlet vanes	Inlet vane
Gas turbines	Air intake	Intake duct	Intake duct
Control logic units	Analog output cards	(X-wiring)	(X-wiring)
Control logic units	Analog output cards	Connec-	Connec-
Control logic units	Analog output cards	Output card	Output card
Control logic units	Analog output cards	Relay	Relay
Control logic units	Analog output cards	tion unit 	tion unit
Valves	Analog output cards	Indicator	Indicator
Valves	Analog output cards	Instrument, general	Instrument, general
Valves	Analog output cards	Instrument, position	Instrument, position
Valves	Analog output cards	Internal power supply	Internal power supply
Valves	Analog output cards	Limit switch	Limit switch
Valves	Analog output cards	Monitoring	Monitoring
Valves	Analog output cards	Pilot valve c	Pilot valve c
Valves	Analog output cards	Quick exhaust dump valve	Quick exhaust dump valve
Valves	Analog output cards	Solenoid valve	Solenoid valve
Valves	Analog output cards	Valves	Valve
Valves	Analog output cards	Wiring	Wiring
Subsea blowout preventers (BOP)	Backup control	Accumulators	Accumulator
Subsea blowout preventers (BOP)	Backup control	Battery	Battery
Subsea blowout preventers (BOP)	Backup control	Hot stab	Hot stab
Subsea blowout preventers (BOP)	Backup control	Pilot valves	Pilot valve
Subsea blowout preventers (BOP)	Backup control	ROV intervention panel	ROV intervention panel
Subsea blowout preventers (BOP)	Backup control	ROV operated	ROV operated
Subsea blowout preventers (BOP)	Backup control	Shuttle valves	Shuttle valve
Subsea blowout preventers (BOP)	Backup control	Shuttle valves	Shuttle valve
Subsea blowout preventers (BOP)	Backup control	Solenoid valves	Solenoid valve
Subsea blowout preventers (BOP)	Backup control	Subsea control unit	Subsea control unit
Subsea blowout preventers (BOP)	Backup control	Subsea	Subsea
Subsea blowout preventers (BOP)	Backup control	Surface control unit	Surface control unit
Subsea blowout preventers (BOP)	Backup control	Transducers	Transducer
Subsea blowout preventers (BOP)	Backup control	Transducers Surface	Transducers Surface
Subsea blowout preventers (BOP)	Backup control	Valves, ROV operated shut-off	Valves, ROV operated shut-off
Subsea pumps	Barrier fluid	Accumulator	Accumulator
Subsea pumps	Barrier fluid	Cooling	Cooling
Subsea pumps	Barrier fluid	Filter	Filter
Subsea pumps	Barrier fluid	Hydraulic coupling	Hydraulic coupling
Subsea pumps	Barrier fluid	Lubrication oil	Lubrication oil
Subsea pumps	Barrier fluid	Lubrication oil pump incl. driver	Lubrication oil pump incl. driver
Subsea pumps	Barrier fluid	Piping	Piping
Subsea pumps	Barrier fluid	Reservoir	Reservoir
Subsea pumps	Barrier fluid	Valve, check	Valve, check
UPS	Bypass unit	Bypass switch	Bypass switch
UPS	Bypass unit	Bypass transformer	Bypass transformer
UPS	Bypass unit	Contactor feeder a Fuse	Contactor feeder a Fuse
UPS	Bypass unit	Instrument	Instrument
UPS	Bypass unit	Static switch	Static switch
Combustion engines	Combustion engine unit	Air inlet	Air inlet
Combustion engines	Combustion engine unit	Cylinders	Cylinder
Combustion engines	Combustion engine unit	Exhaust	Exhaust
Combustion engines	Combustion engine unit	Fuel filters	Fuel filter
Combustion engines	Combustion engine unit	Fuel pumps	Fuel pump
Combustion engines	Combustion engine unit	Ignition system	Ignition system
Combustion engines	Combustion engine unit	Injectors	Injector
Combustion engines	Combustion engine unit	Piping	Piping
Combustion engines	Combustion engine unit	Pistons	Piston
Combustion engines	Combustion engine unit	Radial bearing	Radial bearing
Combustion engines	Combustion engine unit	Seals	Seal
Combustion engines	Combustion engine unit	Shaft	Shaft
Combustion engines	Combustion engine unit	Thrust bearing	Thrust bearing
Combustion engines	Combustion engine unit	Turbocharger	Turbocharger
Combustion engines	Combustion engine unit	Valves	Valve
Gas turbines	Combustion system	Combustor	Combustor
Gas turbines	Combustion system	Fuel nozzles	Fuel nozzle
Gas turbines	Combustion system	Seals	Seal
Downhole well completion	Completion string	Annulus safety valve	Annulus safety valve
Downhole well completion	Completion string	Autonomous control device (AICD)	Autonomous control device (AICD)
Downhole well completion	Completion string	Downhole packer/hanger	Downhole packer/hanger
Downhole well completion	Completion string	Electrical submersible pump b	Electrical submersible pump b
Downhole well completion	Completion string	Flow coupling	Flow coupling
Downhole well completion	Completion string	Fracturing plug	Fracturing plug
Downhole well completion	Completion string	Fracturing sleeve	Fracturing sleeve
Downhole well completion	Completion string	Hydraulical submersible 	Hydraulical submersible
Downhole well completion	Completion string	Inflow control device	Inflow control device
Downhole well completion	Completion string	Inflow control valve	Inflow control valve
Downhole well completion	Completion string	Nipple for wireline SCSSV	Nipple for wireline SCSSV
Downhole well completion	Completion string	Permanent gauge	Permanent gauge
Downhole well completion	Completion string	Production packer	Production packer
Downhole well completion	Completion string	pump	pump
Downhole well completion	Completion string	Seal assembly	Seal assembly
Downhole well completion	Completion string	Sidepocket mandrel	Sidepocket mandrel
Downhole well completion	Completion string	Sliding sleeve	Sliding sleeve
Downhole well completion	Completion string	TR-SCSSV	TR-SCSSV
Downhole well completion	Completion string	Tubing	Tubing
Downhole well completion	Completion string	Tubing hanger	Tubing hanger
Compressors	Compressor	Antisurge system b	Antisurge system b
Compressors	Compressor	Casing	Casing
Compressors	Compressor	Cylinder liner	Cylinder liner
Compressors	Compressor	Internal piping	Internal piping
Compressors	Compressor	Interstage seals	Interstage seal
Compressors	Compressor	Packing	Packing
Compressors	Compressor	Piston	Piston
Compressors	Compressor	Radial bearing	Radial bearing
Compressors	Compressor	Rotor with impellers Balance piston	Rotor with impellers Balance piston
Compressors	Compressor	Shaft seals	Shaft seal
Compressors	Compressor	Thrust bearing	Thrust bearing
Compressors	Compressor	Valves	Valve
Gas turbines	Compressor	Anti-icing valve Casing	Anti-icing valve Casing
Gas turbines	Compressor	Anti-surge valve	Anti-surge valve
Gas turbines	Compressor	Aux. bleeding system	Aux. bleeding system
Gas turbines	Compressor	Compressor	Compressor
Gas turbines	Compressor	Cooling system	Cooling system
Gas turbines	Compressor	Piping	Piping
Gas turbines	Compressor	Radial bearing	Radial bearing
Gas turbines	Compressor	Rotor	Rotor
Gas turbines	Compressor	Seals	Seal
Gas turbines	Compressor	Stator	Stator
Gas turbines	Compressor	Thrust bearing	Thrust bearing
Gas turbines	Compressor	VGV system	VGV system
Steam turbines	Condenser	Condenser	Condenser
Steam turbines	Condenser	Reg. pump	Reg. pump
Steam turbines	Condenser	Vacuum pump	Vacuum pump
Surface blowout preventers (BOP)	Connectors	Body	Body
Surface blowout preventers (BOP)	Connectors	Connectors:	Connectors:
Surface blowout preventers (BOP)	Connectors	Locking mechanism	Locking mechanism
Surface blowout preventers (BOP)	Connectors	Main-bore seal ring	Main-bore seal ring
Surface blowout preventers (BOP)	Connectors	Piston	Piston
Surface blowout preventers (BOP)	Connectors	Seals	Seal
Boom system	Control and monitoring	Hoist sheaves Hook	Hoist sheaves Hook
Boom system	Control and monitoring	Hoist winch	Hoist winch
Boom system	Control and monitoring	Lifting wire	Lifting wire
Boom system	Control and monitoring	Shock damper	Shock damper
Combustion engines	Control and monitoring	Actuating device	Actuating device
Combustion engines	Control and monitoring	Control unit	Control unit
Combustion engines	Control and monitoring	Internal power supply	Internal power supply
Combustion engines	Control and monitoring	Monitoring	Monitoring
Combustion engines	Control and monitoring	Piping	Piping
Combustion engines	Control and monitoring	Seals	Seal
Combustion engines	Control and monitoring	Sensor	Sensor
Combustion engines	Control and monitoring	Valves	Valve
Combustion engines	Control and monitoring	Wiring	Wiring
Compressors	Control and monitoring	Actuating device Control unit	Actuating device Control unit
Compressors	Control and monitoring	Cables and junction boxes	Cables and junction boxe
Compressors	Control and monitoring	Internal power supply	Internal power supply
Compressors	Control and monitoring	Monitoring	Monitoring
Compressors	Control and monitoring	Piping	Piping
Compressors	Control and monitoring	Seals	Seal
Compressors	Control and monitoring	Sensors	Sensor
Compressors	Control and monitoring	Valves	Valve
Compressors	Control and monitoring	Wiring	Wiring
Electric generators	Control and monitoring	Actuating device	Actuating device
Electric generators	Control and monitoring	Control unit	Control unit
Electric generators	Control and monitoring	Internal power supply Monitoring	Internal power supply Monitoring
Electric generators	Control and monitoring	Piping	Piping
Electric generators	Control and monitoring	Seals	Seal
Electric generators	Control and monitoring	Sensor	Sensor
Electric generators	Control and monitoring	Valves	Valve
Electric generators	Control and monitoring	Wiring	Wiring
Electric motors	Control and monitoring	Actuating device	Actuating device
Electric motors	Control and monitoring	Control unit	Control unit
Electric motors	Control and monitoring	Internal power supply Monitoring	Internal power supply Monitoring
Electric motors	Control and monitoring	Piping	Piping
Electric motors	Control and monitoring	Seals	Seal
Electric motors	Control and monitoring	Sensor	Sensor
Electric motors	Control and monitoring	Valves	Valve
Electric motors	Control and monitoring	Wiring	Wiring
Frequency converters	Control and monitoring	Cards	Card
Frequency converters	Control and monitoring	Communication	Communication
Frequency converters	Control and monitoring	Control and monitoring	Control and monitoring
Frequency converters	Control and monitoring	Control unit	Control unit
Frequency converters	Control and monitoring	Instruments	Instrument
Frequency converters	Control and monitoring	Internal power	Internal power
Frequency converters	Control and monitoring	Miniature circuit breakers/fuses Isolation switch	Miniature circuit breakers/fuses Isolation switch
Frequency converters	Control and monitoring	Monitoring	Monitoring
Frequency converters	Control and monitoring	Supply	Supply
Frequency converters	Control and monitoring	Wiring	Wiring
Gas turbines	Control and monitoring	Actuating devices	Actuating device
Gas turbines	Control and monitoring	Control unit	Control unit
Gas turbines	Control and monitoring	Internal power supply	Internal power supply
Gas turbines	Control and monitoring	Monitoring	Monitoring
Gas turbines	Control and monitoring	Seals	Seal
Gas turbines	Control and monitoring	Sensor	Sensor
Gas turbines	Control and monitoring	Valves	Valve
Gas turbines	Control and monitoring	Wires	Wire
Heat exchangers	Control and monitoring	Actuating device	Actuating device
Heat exchangers	Control and monitoring	Control unit	Control unit
Heat exchangers	Control and monitoring	Internal power supply	Internal power supply
Heat exchangers	Control and monitoring	Monitoring	Monitoring
Heat exchangers	Control and monitoring	Piping	Piping
Heat exchangers	Control and monitoring	Seals	Seal
Heat exchangers	Control and monitoring	Sensor	Sensor
Heat exchangers	Control and monitoring	Valves	Valve
Heat exchangers	Control and monitoring	Wiring	Wiring
Heaters and boilers	Control and monitoring	Actuating device	Actuating device
Heaters and boilers	Control and monitoring	Control and monitoring	Control and monitoring
Heaters and boilers	Control and monitoring	Control unit	Control unit
